,CommentHead,Comment,Rating
13986,Really Nice,Fail product,4
13987,Classy product,Excellent product,5
13989,Good,Avarage product,3
13990,Don't waste your money,Shuttle is not up to the mark. Infact bad quality. It easily broken in 2 days.Please don't buy.,1
13992,Worthless,Quality was very bad,1
13993,Very poor,Local,1
13994,Nice,Average product. Just does the work.,3
13995,Brilliant,Bahut hi badhiyan shuttlecock😊 Thank You Flipkart..,5
13997,Could be way better,Worst .  Broken in 2 days not worth it,2
13998,Fair,"Not bad , pro little bit better than nongi 200 , thanks to Flipkart",3
13999,Awesome,I am very much satisfied with the product. It lasts upto 4-5 matches. Very strong and good speed.,5
14001,Good,It is small size. Not enough for playing.,3
14002,Absolute rubbish!,Not best product waste of money only,1
14003,Excellent,Value for money.,5
14004,Super!,Good products by NONGI brand. Value for money. Attractive colour it has. I am happy with this.,5
14005,Excellent,Value for money,5
14008,Great product,"Extremely sturdy... Happy with the quality, considering the price point.. I would definitely recommend it for amateur players",5
14009,Worthless,"It is not good,very bad quality",1
14011,Absolute rubbish!,Very bad...,1
14012,Great product,Top quality seller and decent product. Worth the money. Thank you.,5
14013,Super!,V Good Quality,5
14014,Highly recommended,They are mind blowing!!,5
14016,Does the job,Not expected high quality. So at this price below 200. It is good enough. A bit smaller than standard,3
14017,Awesome,Good product with very good quality and very much worth for the price. Liked it very much😍🔥,5
14018,Nice,"These shuttlecock are not bad for this price, but, I feel recovery time is really really slow.",3
14020,Classy product,Fantastic for my son. Very quick delivery by Flipcart,5
14021,Moderate,Nice product in best price,2
14022,Did not meet expectations,Very very very bad,1
14023,Nice,Good for beginners.,3
14024,Don't waste your money,Shuttles are not well designed and broken after 2 or 3 smash,1
14026,Waste of money!,Poor quality…don’t buy it,1
14027,Worst experience ever!,Don't Buy This Product So poor quality broken very easily Don't Buy,1
14029,Great product,"Good ' but are of plastic rather than metal...However, very strong and durable. I am preffering it.... Go for it.....🥰🥰😤",5
14030,Excellent,👍👍👏👏Excellent product 👌👌👌👌😎,5
14032,Wonderful,Nice shoes  i like it,5
14033,Really Nice,Good product ..,4
14034,Fabulous!,Awesome product...... Fabulous.....must buy.....❤️❤️❤️,5
14035,Delightful,Product quality good,4
14036,Just wow!,It is so nice and so speed,5
14038,Just wow!,Great 👏,5
14039,Very Good,Easy sket tank fipkart,4
14040,Excellent,Amazing product fully amazing size can be changed for beginners and for who knows too,5
14042,Very Good,It's good but it's wheels are of bad quality I used it for 3 months and then it is of no use because of its wheels,4
14044,Great product,Very very nice,5
14045,Really Nice,Good choice by my son adhyayan,4
14047,Excellent,Best product I ever seen,5
14048,Could be way better,I am selected black colour and found it blue I am very disappointed,2
14049,Not recommended at all,Bad,1
14050,Great product,Very good product must buy,5
14052,Perfect product!,Very fantastik,5
14053,Worth every penny,"Nice and quality also excellent, just go for it.",5
14054,Good quality product,Nice product for 6 & Above kids,4
14056,Simply awesome,Best of budget and afcours good quality.,5
14058,Pretty good,It's a nice product...,4
14059,Awesome,Very very very niceee,5
14063,Perfect product!,This product is very good and helpful thank you Flipkart,5
14064,Worth the money,Better n heavy quality,4
14065,Very poor,Not good Worst,1
14066,Good quality product,Excellent product and quality,4
14067,Perfect product!,Super product💥💥 .....good quality 🔥🔥......but delivery day is much long 😤😒,5
14070,Perfect product!,It's a very nice product and was delivered on the given date loved it. No damage it was in a very good condition,5
14071,Nice,OK product,3
14072,Bad quality,Weel not block wastage of money,2
14073,Wonderful,Nyc,5
14074,Slightly disappointed,It is very bad Don't buy it 😑👎👎👎👎,2
14075,Value-for-money,Nice product same as shown quality is also good I like it,4
14076,Great product,Awesome quality 🥰I luv it✌️,5
14077,Pretty good,Scate is very nice but the lays in not green they are black in colour,4
14078,Awesome,Bast quality,5
14079,Brilliant,It's good bcoz it's price 854 is not bad when you compare the product....one more thing.....if you are not know how to skate...means you are beginner so don't buy bcoz it's wheels not completely lock.... only 70% lock....so be careful when you skate..... thanks Flipkart,5
14080,Slightly disappointed,It's screw are not easily available,2
14083,Does the job,Ok 👍 product,3
14084,Must buy!,Best product ever seen❤❤❤❤❤,5
14087,Excellent,Amazing,5
14091,Does the job,This is good product by flipkart,3
14092,Fair,Comfortable but not very good,3
14094,Value-for-money,"Good product, but i got different colour.",4
14095,Nice product,It is not bad,4
14096,Not good,good but not comfortable,2
14097,Must buy!,Good👍👍👍👍👍👍,5
14098,Delightful,"Good quality ,Safe delivery thank you flipkart",4
14100,Fabulous!,It's nice product,5
14101,Best in the market!,Great quality for the price...I loved them!,5
14102,Simply awesome,Very very good,5
14103,Decent product,Quality is good,3
14104,Super!,Really good,5
14105,Highly recommended,Superb quality,5
14106,Must buy!,IT IS VERY GOOD,5
14107,Must buy!,Amazing,5
14108,Very poor,Very bad don't buy this product,1
14110,Classy product,Wheels are perfect,5
14111,Must buy!,This product is very awesome,5
14114,Fair,Product is ok. But not worth of Price,3
14115,Brilliant,Very nice sket,5
14116,Nice,very nice product my daughter was happy,3
14117,Decent product,Good product but their is a problem that it sweats your leg and it is almost impossible to wear after 10 to 15 minutes ......,3
14118,Terrific,Thanks Flipkart good quality and fast delivery,5
14120,Fabulous!,Good Quality 👍 Thanks...,5
14121,Value-for-money,"Very good quality , but it's not for 1p or 9 year kids as given in the description",4
14122,Terrific purchase,Excellent product....,5
14124,Highly recommended,very nice,5
14127,Super!,Hood,5
14128,Worth every penny,It is a good skateboard for boys it is a good company I like it so much . It make lots of fun,5
14129,Very good skateboard,Good strong and sturdy. Can be used even by people of 50 kg. Smooth wheels and sturdy board.,5
14130,Best in the market!,Smooth ride.have a quality like nivia skateboard. But guys this size is not suitable for small kids.you what i mean.iam 17 . excellent..you can buy it,5
14131,Must buy!,It was really big and the most important thing to me is that it gives me joy loved it. If u r looking for a nice skateboard in budget u can't get better than this,5
14132,Fair,it's not very good it's turning is not good when we turn the wheel will hit the board and wheels stop and it is only good for skating in level places  and the wood is of low quality but it's good,3
14133,Not bad,All is good in this product but it needs good quality plywood wheels are good but it much tilt always and quickly have brake.just need to tight all part in shop otherwise good best product satisfied,4
14134,Perfect board for the begineers,Its worth the money ..its been 4 months now and its still stiff and fine. Go for it guys if you are beginner. Its smooth to drive.Only one thing i have found that the grip last till 3 months.So i have bought a new grip tape and now its super fine. A big thumps up toStrauss bronx . And thank you flipkart for such a nice bubble wrap.,4
14135,Highly recommended,"world's best skateboard ,it has a anti skidding layer which is mostly like a grip tape and it's polyurathene tyres are great , the design will attract people around you.",5
14136,Value-for-money,"First off all as usual flipkart is as usual punctual to delivery.Product is good it is of a plywood material and good for beginner,amateuer  or professional you can ride well and turn it by bending or putting to the side its awesome.Nice product at this priceOnce again thanks flipkart.",4
14137,Decent product,The transparent plastic cover on the plywood was striped out in a few days. So it is exposed to the moisture(of air) now which is not good for plywood. Except this the product is good though I don't know much about skateboards.,3
14138,Simply awesome,nice but deck quality is quite poor at the edges . but don't worry it's easy to fix it .,5
14139,Awesome,awesome,4
14141,Fair,It lking good.......but   deliver too long boring.........,3
14142,Terrific purchase,This product is very good and very very big,5
14143,Simply awesome,Its really good with grip 😍,5
14144,Useless product,"The wood quality is the worst. As soon as I stand on it, I heard a cracking sound. The lowest layer of wood was cracked. The sticker peeled off. And the grip tape also started to peel off. When I stand on it, it bends in U shape. This pictures are of the same day which the skateboard is delivered.",1
14145,Excellent,Good product. My son love this.,5
14147,Good quality product,Great,4
14148,Wonderful,I'm using this board more than 5 month. Great product.,4
14150,Brilliant,Skateboard is good... And delivery is soooo good.. Thanks to ekart for good job... Deliveried before expected date,5
14151,Fabulous!,Superb but bag packing must needed,5
14152,Wonderful,Very good product.Runs very fast.,5
14153,Really Nice,Good quality best price.,4
14154,Just wow!,Mast item bawa,5
14156,Good,awsom skateboard,3
14157,Highly recommended,Awesome product much more than my expectations☺☺☺,5
14158,Worst experience ever!,it's very nice,5
14160,Super!,Fantabulous,5
14162,Really Nice,its good product,4
14163,Good quality product,Product was good but jo wood h vo stuff karne ke baad crack hogaye😔👌 so don’t do any stuuf,4
14164,Very Good,Excellent . Slightly long for 12 year child but overall good quality !!,4
14165,Fair,Both the size and the color are as shown. But the deck is flat and is not gud for turning sharply without a kick turn. The wheels exhibit great grip even for indoors. The deck is also gripped well.,3
14166,Best in the market!,Very useful for children's biggner,5
14168,Terrific purchase,Well Upper Body Is Very Nice But The Lower Especially The Yellow Colour Rubber 🤮,5
14169,Really Nice,Nice and sturdy product👍Must buy,4
14170,Terrific,Excellent 😊👍,5
14172,Good,Dgggdsrt good but not too good we have to repair it every month . It can only roll on really smooth surface,3
14173,Excellent,Best Quality Product Provided by World's Best Online Shopping Company FLIPKART,5
14174,Classy product,Best one♥️,5
14176,Pretty good,A good skateboard but a little damaged and thx to flipkart,4
14177,Just okay,Nice skateboards,3
14179,Wonderful,For beginners is good but not good for stunt or any trick so if you are beginners u go for it,4
14180,Great product,Good Quality product nice design and material.  Thanks for delivering it to me.Purely Satisfied ♥️😊♥️,5
14184,Decent product,Average. Stickers peel off easily after little use. Feel unsafe performing stunts.,3
14187,Brilliant,Lovely product,5
14189,Brilliant,My son very happy for his birthday gift,5
14191,Does the job,Heavy for tricks.....tyres quality are not actually for streets...bt alright for beginers,3
14192,Pretty good,So far so good. Good quality.,4
14193,Not good,It's too small as compared to the pic shown in display,2
14194,Brilliant,"Amazing, good for beginners",5
14197,Excellent,"Good product, little bit bigger for 7 years old boy, but enjoying a lot..",5
14198,Hated it!,Dont buy Wheels qre loose and came out in a day,1
14200,Terrific purchase,Super product,5
14201,Very Good,The graphics is not goodSmooth boardValue for money Average quality,4
14202,Value-for-money,Good for beginners but if you want to do some stunts than better go for Oxelo skateboard.,4
14204,Fair,"It's not reach to our expectation, anyhow good for begginers",3
14205,Terrific purchase,Very nice skateboard,5
14206,Very Good,good products,4
14207,Classy product,Excellent product by flipkart,5
14208,Good choice,good  product but will not last long,4
14210,Classy product,osm fantastic mind blowing,5
14212,Best in the market!,it was too good,5
14213,Very Good,Quality is very good,4
14214,Pretty good,"It is quite heavy but good,It's quality is nice.",4
14215,Decent product,average,3
14216,Must buy!,Super skating,5
14218,Wonderful,this board has no finishing in design,4
14219,Simply awesome,Nice Product. thanks,5
14221,Just wow!,NICE PRODUCT,5
14222,Just wow!,Yeah gud one 😊🤗👍,5
14223,Waste of money!,gud,1
14224,Simply awesome,best for this price,5
14225,Worth every penny,very nice product,5
14228,Best in the market!,"very nice looking, good quality, best in class, within budget. My son and me both are very happy. Cosco is really a trusted brand. All products are great.Good advance delivery by Flipkart.",5
14229,Super!,very good and nice exelent 👌😍 thank you Flipkart this is very good thank you,5
14230,Just wow!,good product and safe money orignal casco brand,5
14231,Super!,It's very goodI have given a picture of it. See that,5
14232,Terrific purchase,Awesome product . Must BUy if u r beginner.,5
14234,Delightful,nice product....,4
14236,Terrific,Awesome product,5
14237,Highly recommended,MY  SON  WAS VERY HAPPY ....WHEN HE  GOT  HIS PACKET .,5
14238,Mind-blowing purchase,very good quality.good balance. tight brakeseasy to useadjustable size,5
14241,Delightful,good but budget priced product,4
14242,Good choice,good product in market,4
14246,Perfect product!,Nice product!!😎😎,5
14247,Super!,Very nice,5
14248,Awesome,The quality of the product is very good. the built looks very sturdy and heavy. very satisfied with the product.,5
14250,Best in the market!,Osm quality,5
14251,Wonderful,Vrry gud product..,5
14253,Excellent,matel body ok,5
14254,Fabulous!,Very nice and comfortable for my six year daughter.,5
14255,Mind-blowing purchase,Its Good,5
14256,Great product,Nice products i give 5 star,5
14260,Worthless,Very bad skates😣😣😣😣👎👎👎👎👎👎👎 If you want to waste money you can buy this ☹️,1
14261,Very Good,Everything ok. Go for it,4
14263,Perfect product!,Don't think go for it,5
14264,Nice product,Very nice👌👌,4
14265,Perfect product!,The best product,5
14266,Excellent,Average,5
14267,Good,gud,3
14268,Really Nice,good product,4
14269,Highly recommended,superb 1,5
14270,Absolute rubbish!,the roller skates came without shoe lace and buckle,1
14271,Mind-blowing purchase,very good 👍,5
14273,Wonderful,Heavy but Stable,4
14274,Highly recommended,very nice product,5
14276,Did not meet expectations,big vet verry nice prodacat,1
14277,Fabulous!,very very very very very very very very very very nice product,5
14279,Classy product,is good fitting for my child my daughter is happy for sketting,5
14280,Terrific purchase,it's vvvv good product,5
14281,Value-for-money,very good and comfortable,4
14282,Terrific,It is very good product,5
14283,Good choice,It was good.,4
14284,Good quality product,nice product.,4
14285,Simply awesome,"bahut acha product haivery nice, beautiful & good quality",5
14290,Great product,good deel.,5
14292,Terrific purchase,"nice Product and adjustable as per kids age, also safety added by rubber stopper in front side",5
14294,Nice product,It's very good,4
14295,Best in the market!,NICE PRODUCT,5
14296,Highly recommended,best for beginnersawesome for experts,5
14297,Really Nice,Injoy my child,4
14298,Very Good,Good product.,4
14299,Perfect product!,slipy,5
14300,Wonderful,Perfect,5
14301,Super!,only for beginners,5
14302,Perfect product!,"Good, but not used yet",5
14304,Benifit purchase,This skates are soooo! Good just you buy,5
14306,Must buy!,as expected,5
14308,Good choice,comparatively expensive,4
14309,Worth every penny,very very good,5
14311,Fabulous!,goog,5
14313,Fabulous!,product is very good and durable . friends go for it,5
14314,Fabulous!,my son was very happy with the priduct. good quality. and product was timly delivered.,5
14315,Mind-blowing purchase,nice product,5
14317,Great product,superb product ...,5
14318,Simply awesome,nice quality,5
14319,Super!,it is nice product order it and enjoy it,5
14320,Really Nice,nice product and delivery,4
14321,Best in the market!,good quality👌,5
14322,Worth every penny,Good product..my nephew is very happy,5
14324,Decent product,Best for starting a new hobby....,3
14325,Must buy!,very good product nice.,5
14326,Good,"Its a good for beginners and kids. I was thinking it's made of maple wood. But, its made of plastic. I felt it's Polypropylene/LPDE or some kind of glass filled composite plastic. Body material, bridge, PU wheels are good. Able to take adults also. About 90kg person also can play. Since, wheels are small dia not easy to play in tarmac road. Even small stones also can topple (this is same in any skate of this size. May be longboards won't have this issue). But very nice to play in concre roads...",3
14327,Perfect product!,Good product I like it. Thank you so much flipkart,5
14328,Worth every penny,Nice product it will go side ways also nice one,5
14329,Nice,Good But only problem is squeaky sound,3
14330,Best in the market!,My dad throwed the skateboard  3 time because  of anger but still it doesn't  break,5
14331,Absolute rubbish!,1. Yo said me the print is digital but it is stiker 2. Grip tape is very poor,1
14333,Good quality product,Useful product 😀,4
14334,Waste of money!,Can't ride in road,1
14335,Good quality product,It is excellent,4
14336,Decent product,"The board is good, ride the board with safety gears .About the board  the wheel quality and deck quality good and after few more weeks of use the bolt and the bearing are automatically unwinding and the bearing  damaged completely .The board is good for tricks and free ride .",3
14337,Nice,The sticker is  poor and printing was so bad,3
14338,Does the job,"Good product, I like it",3
14339,Moderate,Is bad item,2
14340,Horrible,Not expected,1
14341,Color of the wheels is totally different,The product is fine. But the colour of the tyre shown in the picture is black and what I got is with white colour. All other things are fine till now. Need to see how long it will last.,3
14342,Wonderful,Playable product and nice,5
14343,Decent product,Awesome product,3
14344,Must buy!,Awesome thanks to Flipkart Amazing product 👌,5
14345,Decent product,Good quality but not for street,3
14346,Nice,"The grip on the board can peel skin, the base of the board is just sticker and is peeling off, plus if you try to peel it all off, the sticker gets spoiled and residues of paper will be stuck on the board. Better is to give without sticker if so. But still, the product is alright.",3
14347,Just wow!,beginners can go with this,5
14348,Classy product,Super 👌👌👌,5
14351,Awesome,Very good quality and balanced also. Very easy to learn if u know the basic methods.,5
14353,Perfect product!,Best for both kids n adults 🔥🔥i have ordered the max size . quality is also perfect 👍,5
14355,Simply awesome,Nice sketboad..,5
14356,Pretty good,This product is good Good quality and thanks to Flipkart 😀,4
14357,Delightful,"It's gud product, but trip tape not gud enough. It is running on Indian road with some noise. It's weight is also more. Good for beginners.",4
14358,Waste of money!,Product is worst not satisfied...,1
14360,Good,Beginner skateboardtruckings are plastic not metal Graphics are paper stickers,3
14361,Perfect product!,Best koalty product,5
14362,Must buy!,Wow nice ❤️❤️❤️❤️,5
14364,Fabulous!,Excellent,5
14366,Worth every penny,Best value for money,5
14367,Good produkt,Good produkt,4
14369,Classy product,It was a excellent product,5
14370,Wonderful,Product was nice but there is no digital printing it's just a sticker .All over its run smooth in Indian roads,4
14372,Highly recommended,Very good Skateboard,5
14373,Wonderful,Spr,4
14374,Simply awesome,I glad to be buy this product.Love this😍😘,5
14375,Delightful,Grip tape loses very fastly else is good,4
14376,Awesome,Smooth and sturdy. Good built quality for kids.,5
14377,Excellent,very good,5
14378,Wonderful,Stable,5
14379,Must buy!,Fantastic item,5
14383,Wonderful,Nice board smooth good best skate board at this price,4
14384,Decent product,Grip tape is getting out of board !! Rest is good,3
14385,Best in the market!,Good very nice product,5
14386,Good,Good product but this board deck not wood its fiber,3
14387,Awesome,Quantity is Great.....,5
14388,Very Good,worth money,4
14389,Highly recommended,Very Nice skates,5
14391,Simply awesome,This is good product.,5
14392,Fabulous!,Super skating,5
14393,Just wow!,Nice product thank you fliokart,5
14396,Must buy!,It is good,5
14398,Super!,Excellent,5
14399,Hated it!,It is a very vvvvv bad proudct of my life the waste of money,1
14400,Absolute rubbish!,Dad,1
14405,Terrific,Verry nice,5
14406,Highly recommended,Good Delivery as well as product,5
14409,Delightful,Not bad,4
14410,Pretty good,Perfect gift for Kids.. they really love it,4
14411,Good quality product,Very Good Product...Good Quality,4
14412,Hated it!,Screws are getting loose in a second and very bad,1
14413,Good quality product,Super 👌,4
14414,Just wow!,"Product super, price worthy",5
14415,Fabulous!,"I'm happy with this , tq, 😇",5
14418,Mind-blowing purchase,Best product,5
14419,Excellent,Super uncle skated,5
14421,Terrific,Very nice product thanks for flipkart,5
14422,Best in the market!,Nice product  and delivery time is also good,5
14424,Awesome,"Good, adjustable size",5
14426,Must buy!,Best in the market 😎😎,5
14429,Highly recommended,Nice product.... thanks flipkart,5
14430,Mind-blowing purchase,Nice product thanks to flipkart,5
14434,Really Nice,Nice 👍👍,4
14436,Good,Good product 👌 very nice,3
14437,Unsatisfactory,"I hated it,",1
14438,Mind-blowing purchase,Nice product 👍,5
14439,Terrific,Good product.....,5
14440,Best in the market!,VERY GOOD PRODUCT 🤩🤩☺☺,5
14442,Classy product,Excellent,5
14443,Excellent,Thanks,5
14444,Decent product,Very nice products,3
14445,Highly recommended,Product was good,5
14446,Classy product,Excellent profit I like it,5
14447,Perfect product!,This is very nice and I like very much it's size is very big and small,5
14449,Brilliant,Very good quality product,5
14450,Just okay,Very good product,3
14451,Excellent,Best for kid and elders,5
14453,Worth every penny,Fantastic 👌,5
14454,Brilliant,Very good and good quality..Thank q  🤩🤩🤩🤩,5
14455,Fabulous!,Thanks flipcart,5
14456,Value-for-money,best quality,4
14457,Decent product,Good product ad per cost!,3
14458,Worst experience ever!,Quality not bad,1
14459,Good,Good service from flipkart,3
14460,Not recommended at all,Very very poor quality since divide in two parts,1
14461,Fair,"The produt is nice ,but rhe thread are soo thin ,but ot is useful forbegginers",3
14462,Horrible,Very bad😑😟☹️,1
14463,Hated it!,Very poor quality.... After one month it has been completely damaged.,1
14464,Must buy!,Product is the best and quality is good thanks forFilpkart,5
14467,Moderate,Low quality net....not up to d mark,2
14469,Not good,Very poor product,2
14471,Not good,This net not feat,2
14472,Best in the market!,Good 👍,5
14473,Good,Nice but not perfect,3
14474,Brilliant,Best quality of bolly ball net,5
14476,Hated it!,Not good thread,1
14478,Wonderful,Really best for few days play like that two months lockdown Not for the 6 months Use Wire upper side,4
14479,Decent product,Quality not up to mark,3
14480,Nice product,good product,4
14481,Terrific,is nice product,5
14482,Terrific purchase,It's nice to play,5
14484,Awesome,Super but stiches not perfect,5
14485,Terrific purchase,Supperb net,5
14487,Don't waste your money,Very worst products,1
14490,Absolute rubbish!,To low quality,1
14491,Wonderful,"Edge cover is not made with plastic, just with cotton cloth.",4
14492,Worst experience ever!,Bed product,1
14493,Nice,Ok for simple ... Games or u can use as balcony nets .. Size also gud.   Packing also gud .. Border was simple ..but ok,3
14496,Just wow!,Nic nat supeer jist party myx,5
14499,Just wow!,Best,5
14502,Great product,Nice product.value of money,5
14503,Absolute rubbish!,"Worst product,Seriously don't buy these product",1
14504,Decent product,value for money,3
14505,Just wow!,This product was very good quality,5
14506,Perfect product!,Good quality product at this price,5
14507,Mind-blowing purchase,This is a good product,5
14508,Awesome,Good to use,5
14510,Just okay,Not bad.... should be better,3
14512,Fair,Average quality best for beginners,3
14515,Wonderful,Amezing,5
14516,Moderate,Ropes are weak,2
14517,Delightful,Good net,4
14519,Worth the money,Very good,4
14520,Brilliant,Superb ...best at this price range,5
14522,Very Good,Really best..low cost.worth for money.training purpose and normal matches its very useful,4
14523,Super!,Nice prodect,5
14525,Just okay,Very thin net,3
14526,Slightly disappointed,Worst net.. Full money wast,2
14527,Nice product,I like it,4
14528,Worth the money,Fabulous,4
14529,Decent product,colour is vary....but anyhow nice product,3
14531,Just wow!,Thanks flipkart,5
14534,Very poor,Worst product please do not buy this product if you want to buy this product that mean you are wasting your money worst prodect,1
14535,Utterly Disappointed,Worst Quality....is this Volleyball net or Fish net,1
14536,Must buy!,Very nice Net with a strong threads,5
14537,Hated it!,Bad quality worst product,1
14539,Nice product,Colour is difrent,4
14540,Worth every penny,Good service   good   product,5
14542,Worthless,Size is smaller than description...it should be 10m in length..bt it is max 8-8.5m in length,1
14543,Fabulous!,It's is just owesome,5
14544,Very Good,Better quality,4
14545,Fabulous!,good quality in this price,5
14546,Terrific,nice product,5
14547,Really Nice,Better for rural volley players.,4
14548,Must buy!,Nice one product,5
14549,Nice product,Very nice,4
14550,Mind-blowing purchase,It's every good,5
14551,Just wow!,"The product is approximately good,but base border is not perfect .I think border line joint should be better ho sakta hai.",5
14553,Must buy!,awesome net quality is best,5
14554,Best in the market!,"Nice prodect, Super 👌",5
14555,Super!,Fabulous,5
14559,Very Good,It's really good,4
14563,Fabulous!,excellent product reasonable cost,5
14564,Horrible,Bad product....low quality.....very thin tread...very bad......and damage product,1
14565,Worth every penny,Fabulous,5
14566,Excellent,"It is awesome,best in priceTop class",5
14567,Slightly disappointed,At this price it's good but it didn't reched my expectations...,2
14569,Delightful,Very good.,4
14570,Best in the market!,Good product Big net,5
14571,Great product,Nice products,5
14573,Super!,Just go for it... Good quality,5
14574,Must buy!,Fabulous quality..full impressed with quality..😊😊,5
14576,Worth the money,Good product 😍,4
14577,Absolute rubbish!,Very waste product rope was teared,1
14581,Not good,No good. size very loose.,2
14583,Worth every penny,Vry nyc product,5
14584,Wonderful,Nice product bhai,5
14587,Very Good,Very very nice products,4
14588,Not recommended at all,very bad quality,1
14589,Did not meet expectations,Very very worst rpoduct don't buy it,1
14590,Useless product,This is too thin 😭 wire This is not suitable for volleyball,1
14591,Very Good,"item size is perfect and at this low price product are Awasam . nice . good. if you stiched hole side before start playing it will be long lasting....   I recommend everyone for this product if the product is out of stock then wait for it don't buy other one..  i get this product at 273/--.  ,I am happy with this product",4
14592,Simply awesome,Osm very niceSuper prodect,5
14593,Play well,This net amezing net forever... I purchase before 2 month .... Now its condition is very good,5
14594,Value-for-money,Nice product but damaged........,4
14596,Really Nice,Items for not strong but disining supper products one month strongly,4
14597,Value-for-money,Good net,4
14598,Nice product,Good product but rope is not strong,4
14599,Super!,Highly recommended,5
14600,Classy product,Very nice things,5
14601,Brilliant,It is a good product... U must try..it... I Buy that 3 months ago.....it is still..in good condition,5
14602,Fabulous!,Nyc product.. with low price,5
14603,Value-for-money,its good worth of money but its too long very difficult to tir a net😂,4
14604,Worth the money,It's is very better and it's have some problem in there selai,4
14606,Just okay,product is good,3
14607,Not good,low quality,2
14608,Awesome,Good quality net,5
14609,Excellent,Nice products,5
14611,Worth every penny,Good quality of products,5
14612,Simply awesome,Very good quality,5
14614,Terrible product,Waste every disappointned,1
14615,Excellent,good quality. Must buy,5
14616,Super!,Nic product,5
14617,Brilliant,Product is good,5
14618,Fabulous!,It was good but the quality was low,5
14619,Mind-blowing purchase,Very super,5
14621,Really Nice,Good quality used for 6-7 months,4
14622,Absolute rubbish!,Very Poor quality,1
14623,Does the job,Very good quality...,3
14624,Perfect product!,Better,5
14627,Nice product,Thanks Tu Flipkart,4
14631,Nice product,Valye of money,4
14633,Awesome,Awsome,5
14634,Wonderful,Delivery is very fast,5
14639,Useless product,I got a net with joints in it.,1
14640,Pretty good,Overall ok . Six months of usage it's very perfect product for beginners,4
14641,Super!,Awesome awesome,5
14642,Simply awesome,Very.... Good 👍👍👍👍,5
14643,Very Good,I used for almost one year.,4
14644,Mind-blowing purchase,very good,5
14645,Delightful,It is nice and value for money,4
14646,Nice,Very thin nylon net,3
14648,Delightful,Superb product,4
14649,Don't waste your money,West of money very bad products .,1
14650,Excellent,Nice and good,5
14651,Just okay,Poor quality,3
14652,Terrific,Nice product..you can buy this,5
14653,Good quality product,Nice product price is high but quality and size are good .,4
14655,Fair,NETS Small defold but NET is all over Good and very light weight is a good product Thnak you for Flipkart,3
14656,Does the job,Quality is average but received damaged products.,3
14657,Slightly disappointed,Average quality and the length of net Is too long not suitable of games,2
14660,Not recommended at all,Very bad not good color of,1
14661,Nice product,Nice product in this price,4
14662,Best in the market!,Best.  Fit in size,5
14666,Really Nice,Very nice .,4
14667,Utterly Disappointed,We book one bet but you gave another net so I am not satisfied with that net Net bokkalagundhi,1
14668,Unsatisfactory,Waste Of Money Cheap Bordering HDPE is being used instead of plastic.,1
14669,Nice,Very thin,3
14671,Great product,At this cost it is the best,5
14673,Excellent,Quality is low but we're using it.,5
14676,Fair,OK not bad,3
14679,Slightly disappointed,its not good and this net have no boder line cover this tread is not good,2
14680,Expected a better product,Avrage,2
14683,Very Good,satisfying....,4
14685,Simply awesome,Thanks sir . I collected my order safely.,5
14686,Value-for-money,ok,4
14689,Did not meet expectations,quality very low,1
14692,Brilliant,best at 245... quality is quite low but no issue in passing volleyball.. go for it,5
14694,Worthless,Not more strong but good,1
14695,Worth every penny,Very good quality Practice Net GO For it,5
14697,Great product,Excellent delivery boy experience,5
14698,Nice,good.,3
14699,Don't waste your money,Don't buy this. Worst product,1
14700,Bad quality,Good but not nice,2
14703,Worst experience ever!,Not good 🤮,1
14704,Did not meet expectations,Not good quiltey,1
14707,Absolute rubbish!,Never purchase cotton net I said never,1
14709,Expected a better product,bad  quality,2
14710,Great product,Nice coleti,5
14712,Terrible product,Wrost product ever,1
14713,Not good,Not better,2
14714,Wonderful,Better,4
14715,Best in the market!,Nice net,5
14716,Best in the market!,Nice product 👌👌,5
14717,Much better as my expectation.,The quality of the net is very good but its sides would be a little better if it was thick. And the rope used to tie it is nylon so it would be nice to add it to the net.,4
14718,Just wow!,Superb product in this price range.,5
14720,Really Nice,Very  very nice,4
14721,Does the job,This is thread  net this thread is low quality,3
14722,Fair,very poor quality,3
14725,Not recommended at all,Bad qulity,1
14726,Good quality product,Goog quality,4
14727,Fabulous!,Compare to price its good,5
14728,Fair,It is good but very loose.,3
14730,Nice product,Nice quality at this price,4
14731,Terrific purchase,That a exlent,5
14733,Did not meet expectations,Very poor quality cotton if i spike onetime on net that time its tored 😏😏😏totally disappointed,1
14734,Terrific purchase,Nice net,5
14739,Awesome,Best in this price 👌,5
14740,Terrible product,Not worth for match,1
14741,Must buy!,Just Awesome Product,5
14742,Nice,Good Expected price,3
14744,Good,Low quality but good net.,3
14745,Just wow!,"Awesome net ,but quality is low",5
14747,Terrific,Super net,5
14748,Terrible product,Quality wise very worst product,1
14751,Decent product,Product quality avareage,3
14753,Excellent,Goood,5
14756,Terrible product,Not happy,1
14759,Does the job,Best products but but it's not working young people it's only for children.......,3
14760,Not recommended at all,Vrey bad quality,1
14761,Best in the market!,Superb product and delivery guy was very clean and following covid rules good keep it up ok,5
14762,Could be way better,it has broken quickly,2
14763,Worth the money,Durable,4
14765,Expected a better product,Very gatiya,2
14767,Expected a better product,"The Worst Courier I've ever seen .Bad product after a month later , it gone torn .",2
14768,Terrific,Good 🙂 products,5
